Labels,1908_ZFFL55_AAN155_1E-5_ACN_exc375_O2,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,6.31285583E+2,
402.00,5.64348206E+2,
404.00,7.72388916E+2,
406.00,1.02269403E+3,
408.00,2.03900537E+3,
410.00,3.66330859E+3,
412.00,2.42055469E+3,
414.00,2.53410864E+3,
416.00,3.20744165E+3,
418.00,4.22893652E+3,
420.00,7.05932275E+3,
422.00,1.09553760E+4,
424.00,9.81383301E+3,
426.00,9.71011621E+3,
428.00,1.11642949E+4,
430.00,1.35611836E+4,
432.00,1.55766328E+4,
434.00,1.87454023E+4,
436.00,2.20624375E+4,
438.00,2.59050371E+4,
440.00,3.03971035E+4,
442.00,3.45322539E+4,
444.00,4.00303398E+4,
446.00,4.46319023E+4,
448.00,5.12470859E+4,
450.00,5.67167266E+4,
452.00,6.33507734E+4,
454.00,7.08911563E+4,
456.00,7.76470156E+4,
458.00,8.47409688E+4,
460.00,9.22052422E+4,
462.00,1.00344352E+5,
464.00,1.08407844E+5,
466.00,1.16595781E+5,
468.00,1.25388398E+5,
470.00,1.33226906E+5,
472.00,1.40651625E+5,
474.00,1.48887594E+5,
476.00,1.56984063E+5,
478.00,1.63723641E+5,
480.00,1.70379734E+5,
482.00,1.76734625E+5,
484.00,1.82094563E+5,
486.00,1.87548875E+5,
488.00,1.92924531E+5,
490.00,1.97737688E+5,
492.00,1.98868859E+5,
494.00,2.01880719E+5,
496.00,2.06148188E+5,
498.00,2.06822500E+5,
500.00,2.09132063E+5,
502.00,2.08250719E+5,
504.00,2.08510109E+5,
506.00,2.08292969E+5,
508.00,2.06294688E+5,
510.00,2.05572828E+5,
512.00,2.03311766E+5,
514.00,2.00328016E+5,
516.00,1.99096219E+5,
518.00,1.95802688E+5,
520.00,1.92868250E+5,
522.00,1.88421547E+5,
524.00,1.84808031E+5,
526.00,1.81386406E+5,
528.00,1.77295250E+5,
530.00,1.73138141E+5,
532.00,1.68315781E+5,
534.00,1.65510875E+5,
536.00,1.60465563E+5,
538.00,1.55896328E+5,
540.00,1.52631484E+5,
542.00,1.47927063E+5,
544.00,1.43743078E+5,
546.00,1.38014797E+5,
548.00,1.35373047E+5,
550.00,1.29731602E+5,
552.00,1.25894906E+5,
554.00,1.22431188E+5,
556.00,1.17777828E+5,
558.00,1.14666336E+5,
560.00,1.10682703E+5,
562.00,1.07443906E+5,
564.00,1.03662297E+5,
566.00,1.01543672E+5,
568.00,9.71637891E+4,
570.00,9.36398281E+4,
572.00,8.98341641E+4,
574.00,8.76838359E+4,
576.00,8.49315859E+4,
578.00,8.29508125E+4,
580.00,7.99754141E+4,
582.00,7.69186328E+4,
584.00,7.46388672E+4,
586.00,7.20957813E+4,
588.00,7.04910547E+4,
590.00,6.84203125E+4,
592.00,6.59920938E+4,
594.00,6.48982578E+4,
596.00,6.31379727E+4,
598.00,6.11929688E+4,
600.00,5.95031836E+4,
602.00,5.75183359E+4,
604.00,5.48589180E+4,
606.00,5.45786523E+4,
608.00,5.23767656E+4,
610.00,5.12851445E+4,
612.00,5.00773203E+4,
614.00,4.84261289E+4,
616.00,4.78099844E+4,
618.00,4.62288164E+4,
620.00,4.47995820E+4,
622.00,4.43028125E+4,
624.00,4.26629336E+4,
626.00,4.12003516E+4,
628.00,4.14419141E+4,
630.00,3.93814219E+4,
632.00,3.86111602E+4,
634.00,3.82862109E+4,
636.00,3.73778789E+4,
638.00,3.51820898E+4,
640.00,3.47349258E+4,
642.00,3.44320156E+4,
644.00,3.25869102E+4,
646.00,3.21875410E+4,
648.00,3.13523867E+4,
650.00,3.06178828E+4,
652.00,2.99050059E+4,
654.00,3.03214180E+4,
656.00,2.86964434E+4,
658.00,2.72198008E+4,
660.00,2.70495078E+4,
662.00,2.62974551E+4,
664.00,2.63600527E+4,
666.00,2.45626270E+4,
668.00,2.35664922E+4,
670.00,2.37729707E+4,
672.00,2.33701348E+4,
674.00,2.27083652E+4,
676.00,2.18315840E+4,
678.00,2.10040273E+4,
680.00,2.07673398E+4,
682.00,1.99328066E+4,
684.00,1.94123789E+4,
686.00,1.97877207E+4,
688.00,1.86200078E+4,
690.00,1.79744297E+4,
692.00,1.83404082E+4,
694.00,1.72801973E+4,
696.00,1.75372227E+4,
698.00,1.57872354E+4,
700.00,1.57543262E+4,
702.00,1.55958789E+4,
704.00,1.52634854E+4,
706.00,1.45657939E+4,
708.00,1.47585420E+4,
710.00,1.38143213E+4,
712.00,1.36273281E+4,
714.00,1.32990625E+4,
716.00,1.37153438E+4,
718.00,1.27988271E+4,
720.00,1.23108438E+4,
722.00,1.22133838E+4,
724.00,1.15967988E+4,
726.00,1.10183496E+4,
728.00,1.08675107E+4,
730.00,1.08421553E+4,
732.00,1.05614814E+4,
734.00,9.88784766E+3,
736.00,9.37036914E+3,
738.00,1.00009043E+4,
740.00,9.18234863E+3,
742.00,8.65952734E+3,
744.00,8.91714453E+3,
746.00,8.65447070E+3,
748.00,8.97372754E+3,
750.00,8.18739355E+3,
752.00,7.84009375E+3,
754.00,7.07069092E+3,
756.00,7.93735205E+3,
758.00,7.22190479E+3,
760.00,7.11835791E+3,
762.00,6.68501758E+3,
764.00,6.29172461E+3,
766.00,6.66367041E+3,
768.00,6.45989209E+3,
770.00,6.17976025E+3,
772.00,5.74873242E+3,
774.00,5.64134668E+3,
776.00,4.92095703E+3,
778.00,5.04866406E+3,
780.00,5.20626172E+3,
782.00,4.33549316E+3,
784.00,4.95501758E+3,
786.00,4.88597266E+3,
788.00,4.46678174E+3,
790.00,4.68519727E+3,
792.00,4.48990039E+3,
794.00,3.71793091E+3,
796.00,4.46489893E+3,
798.00,4.62126611E+3,
800.00,4.39918066E+3,
802.00,3.70960303E+3,
804.00,2.53379419E+3,
806.00,3.87074341E+3,
808.00,2.93183472E+3,
810.00,3.09243896E+3,
812.00,2.57727051E+3,
814.00,3.37662646E+3,
816.00,2.89068042E+3,
818.00,1.83103040E+3,
820.00,2.92702686E+3,
822.00,2.36541138E+3,
824.00,2.73883569E+3,
826.00,1.70871045E+3,
828.00,2.41260229E+3,
830.00,1.67186841E+3,
832.00,2.39994971E+3,
834.00,2.32982056E+3,
836.00,1.99229590E+3,
838.00,1.76682666E+3,
840.00,1.87229285E+3,
842.00,9.22595093E+2,
844.00,2.25401025E+3,
846.00,1.77024744E+3,
848.00,1.42474146E+3,
850.00,2.05311841E+3,
