Labels,2109_ZFFL55_AAN155_1E-5_ACN_exc375_Ba_4min,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,7.91928162E+2,
402.00,6.99877502E+2,
404.00,7.90197876E+2,
406.00,8.57982117E+2,
408.00,2.03230542E+3,
410.00,3.59097754E+3,
412.00,1.99097803E+3,
414.00,1.37354004E+3,
416.00,1.48426343E+3,
418.00,1.85969617E+3,
420.00,4.40216650E+3,
422.00,7.82136572E+3,
424.00,4.95632227E+3,
426.00,2.81104248E+3,
428.00,2.43946704E+3,
430.00,2.30927271E+3,
432.00,2.62000220E+3,
434.00,2.83954248E+3,
436.00,2.90169556E+3,
438.00,3.10458667E+3,
440.00,3.34599951E+3,
442.00,3.52440747E+3,
444.00,3.59460815E+3,
446.00,3.97468945E+3,
448.00,4.02702881E+3,
450.00,4.28147070E+3,
452.00,4.57656592E+3,
454.00,4.64649365E+3,
456.00,4.63012207E+3,
458.00,4.72064014E+3,
460.00,5.06832764E+3,
462.00,5.06245703E+3,
464.00,5.25860596E+3,
466.00,5.22091602E+3,
468.00,5.68769238E+3,
470.00,5.63807520E+3,
472.00,5.94069092E+3,
474.00,5.93684473E+3,
476.00,6.24946436E+3,
478.00,6.12310889E+3,
480.00,6.15489844E+3,
482.00,6.40610400E+3,
484.00,6.40813428E+3,
486.00,6.47021826E+3,
488.00,6.89011426E+3,
490.00,6.93689404E+3,
492.00,6.98458398E+3,
494.00,7.22723438E+3,
496.00,7.65692773E+3,
498.00,7.87483496E+3,
500.00,7.94420752E+3,
502.00,8.65362500E+3,
504.00,9.18777539E+3,
506.00,9.59156543E+3,
508.00,1.05943271E+4,
510.00,1.16460635E+4,
512.00,1.35563037E+4,
514.00,1.52343037E+4,
516.00,1.71813633E+4,
518.00,1.96730371E+4,
520.00,2.23840664E+4,
522.00,2.54815820E+4,
524.00,2.93413945E+4,
526.00,3.33479727E+4,
528.00,3.78340000E+4,
530.00,4.39026641E+4,
532.00,4.93903359E+4,
534.00,5.57616484E+4,
536.00,6.32747148E+4,
538.00,7.08714375E+4,
540.00,7.90416875E+4,
542.00,8.91067500E+4,
544.00,9.78043594E+4,
546.00,1.07269805E+5,
548.00,1.17132086E+5,
550.00,1.27729781E+5,
552.00,1.40378641E+5,
554.00,1.50973688E+5,
556.00,1.63255375E+5,
558.00,1.76533531E+5,
560.00,1.89137063E+5,
562.00,2.03479750E+5,
564.00,2.15408750E+5,
566.00,2.30332906E+5,
568.00,2.43794047E+5,
570.00,2.57723484E+5,
572.00,2.69003594E+5,
574.00,2.82669031E+5,
576.00,2.98417906E+5,
578.00,3.09654281E+5,
580.00,3.20835594E+5,
582.00,3.34807000E+5,
584.00,3.47344844E+5,
586.00,3.56712938E+5,
588.00,3.66162281E+5,
590.00,3.75429406E+5,
592.00,3.86384531E+5,
594.00,3.96881063E+5,
596.00,4.05020844E+5,
598.00,4.07540375E+5,
600.00,4.19682813E+5,
602.00,4.25058063E+5,
604.00,4.31387656E+5,
606.00,4.33715469E+5,
608.00,4.37428531E+5,
610.00,4.42842938E+5,
612.00,4.47721688E+5,
614.00,4.48585719E+5,
616.00,4.49618063E+5,
618.00,4.50932500E+5,
620.00,4.51562719E+5,
622.00,4.51974969E+5,
624.00,4.53462719E+5,
626.00,4.54233625E+5,
628.00,4.50530906E+5,
630.00,4.50710281E+5,
632.00,4.48398094E+5,
634.00,4.44171531E+5,
636.00,4.42658250E+5,
638.00,4.41602344E+5,
640.00,4.36613500E+5,
642.00,4.33729031E+5,
644.00,4.28206063E+5,
646.00,4.26110500E+5,
648.00,4.19493344E+5,
650.00,4.16819156E+5,
652.00,4.06680594E+5,
654.00,4.05496938E+5,
656.00,3.98186625E+5,
658.00,3.94456719E+5,
660.00,3.88755938E+5,
662.00,3.82469406E+5,
664.00,3.78713344E+5,
666.00,3.74619719E+5,
668.00,3.66952813E+5,
670.00,3.57194031E+5,
672.00,3.52338250E+5,
674.00,3.44432406E+5,
676.00,3.33293500E+5,
678.00,3.32838938E+5,
680.00,3.19939219E+5,
682.00,3.14053531E+5,
684.00,3.10345281E+5,
686.00,3.03112906E+5,
688.00,3.03252375E+5,
690.00,2.92150688E+5,
692.00,2.83509125E+5,
694.00,2.77409750E+5,
696.00,2.72596063E+5,
698.00,2.69245156E+5,
700.00,2.59908828E+5,
702.00,2.56718594E+5,
704.00,2.46866359E+5,
706.00,2.45428203E+5,
708.00,2.38676781E+5,
710.00,2.30328734E+5,
712.00,2.26812125E+5,
714.00,2.18376719E+5,
716.00,2.14999469E+5,
718.00,2.12994688E+5,
720.00,2.05095703E+5,
722.00,1.99362828E+5,
724.00,1.99012203E+5,
726.00,1.92251859E+5,
728.00,1.83625453E+5,
730.00,1.83188391E+5,
732.00,1.76027438E+5,
734.00,1.70925313E+5,
736.00,1.70744094E+5,
738.00,1.65048641E+5,
740.00,1.62081250E+5,
742.00,1.56703797E+5,
744.00,1.52570719E+5,
746.00,1.49792953E+5,
748.00,1.45695328E+5,
750.00,1.40795609E+5,
752.00,1.36109344E+5,
754.00,1.32311266E+5,
756.00,1.28562484E+5,
758.00,1.25020820E+5,
760.00,1.23637070E+5,
762.00,1.17128828E+5,
764.00,1.13124594E+5,
766.00,1.13870695E+5,
768.00,1.11691117E+5,
770.00,1.03992406E+5,
772.00,1.01829523E+5,
774.00,1.00528844E+5,
776.00,9.87464219E+4,
778.00,9.46070859E+4,
780.00,9.08952656E+4,
782.00,8.72485859E+4,
784.00,8.70233594E+4,
786.00,8.45981016E+4,
788.00,7.85196563E+4,
790.00,7.95254844E+4,
792.00,7.50258906E+4,
794.00,7.52360078E+4,
796.00,7.25330000E+4,
798.00,7.20038125E+4,
800.00,6.78385469E+4,
802.00,6.26883555E+4,
804.00,6.57741172E+4,
806.00,6.42973945E+4,
808.00,6.14917344E+4,
810.00,5.64913750E+4,
812.00,5.66567305E+4,
814.00,5.59325508E+4,
816.00,5.22310234E+4,
818.00,5.20463516E+4,
820.00,5.14376523E+4,
822.00,4.81578242E+4,
824.00,5.03308594E+4,
826.00,4.71673242E+4,
828.00,4.39860117E+4,
830.00,4.35057695E+4,
832.00,4.21943906E+4,
834.00,4.00659258E+4,
836.00,3.91241016E+4,
838.00,3.88361719E+4,
840.00,3.58533945E+4,
842.00,3.42530625E+4,
844.00,3.22320977E+4,
846.00,3.12795371E+4,
848.00,3.49554219E+4,
850.00,3.35704102E+4,
