Labels,2609_ZFFL55_AAN155_1E-6_ACN_exc375_O2_1min,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,2.34819214E+2,
402.00,1.36091370E+2,
404.00,1.99707642E+2,
406.00,2.84199432E+2,
408.00,1.62635718E+3,
410.00,3.10659155E+3,
412.00,1.31709070E+3,
414.00,6.02592529E+2,
416.00,7.04786804E+2,
418.00,1.31229993E+3,
420.00,4.38800977E+3,
422.00,7.88785547E+3,
424.00,4.83836377E+3,
426.00,2.60353467E+3,
428.00,2.30979761E+3,
430.00,2.58385498E+3,
432.00,3.00054956E+3,
434.00,3.65397681E+3,
436.00,4.24898486E+3,
438.00,4.96295703E+3,
440.00,5.93086572E+3,
442.00,6.68424658E+3,
444.00,7.41441162E+3,
446.00,8.36874707E+3,
448.00,9.11628516E+3,
450.00,1.01437539E+4,
452.00,1.15068643E+4,
454.00,1.28519951E+4,
456.00,1.37889053E+4,
458.00,1.51177920E+4,
460.00,1.62251602E+4,
462.00,1.75111660E+4,
464.00,1.85284570E+4,
466.00,2.03376016E+4,
468.00,2.12124434E+4,
470.00,2.25513770E+4,
472.00,2.39054805E+4,
474.00,2.51528555E+4,
476.00,2.62587695E+4,
478.00,2.72435371E+4,
480.00,2.80206074E+4,
482.00,2.93997852E+4,
484.00,2.98756191E+4,
486.00,3.09849023E+4,
488.00,3.17330566E+4,
490.00,3.19731836E+4,
492.00,3.23306953E+4,
494.00,3.28462734E+4,
496.00,3.32778320E+4,
498.00,3.30165156E+4,
500.00,3.36346133E+4,
502.00,3.39832930E+4,
504.00,3.36379492E+4,
506.00,3.34811758E+4,
508.00,3.33284258E+4,
510.00,3.30229102E+4,
512.00,3.23100684E+4,
514.00,3.21598223E+4,
516.00,3.19278555E+4,
518.00,3.11672559E+4,
520.00,3.10661738E+4,
522.00,3.06737188E+4,
524.00,2.96884844E+4,
526.00,2.95585000E+4,
528.00,2.90431348E+4,
530.00,2.85661074E+4,
532.00,2.78303652E+4,
534.00,2.72570488E+4,
536.00,2.66516660E+4,
538.00,2.63724355E+4,
540.00,2.61078340E+4,
542.00,2.53394238E+4,
544.00,2.44005918E+4,
546.00,2.41546172E+4,
548.00,2.33361211E+4,
550.00,2.28013301E+4,
552.00,2.28143184E+4,
554.00,2.24941113E+4,
556.00,2.13163887E+4,
558.00,2.12858203E+4,
560.00,2.07765898E+4,
562.00,2.04541699E+4,
564.00,1.99941621E+4,
566.00,1.93780859E+4,
568.00,1.89238613E+4,
570.00,1.82814121E+4,
572.00,1.88091230E+4,
574.00,1.83408750E+4,
576.00,1.79252148E+4,
578.00,1.78977402E+4,
580.00,1.74809395E+4,
582.00,1.76877402E+4,
584.00,1.70617422E+4,
586.00,1.74085547E+4,
588.00,1.68115000E+4,
590.00,1.64590938E+4,
592.00,1.67478887E+4,
594.00,1.65875723E+4,
596.00,1.57303965E+4,
598.00,1.62179229E+4,
600.00,1.58896875E+4,
602.00,1.60668691E+4,
604.00,1.53570537E+4,
606.00,1.55024746E+4,
608.00,1.46559746E+4,
610.00,1.54411563E+4,
612.00,1.53198740E+4,
614.00,1.46349336E+4,
616.00,1.47675078E+4,
618.00,1.42924180E+4,
620.00,1.46024990E+4,
622.00,1.41428408E+4,
624.00,1.48820283E+4,
626.00,1.40014980E+4,
628.00,1.42423984E+4,
630.00,1.37995020E+4,
632.00,1.35041162E+4,
634.00,1.36639961E+4,
636.00,1.34928965E+4,
638.00,1.29910293E+4,
640.00,1.33299912E+4,
642.00,1.29256953E+4,
644.00,1.29082471E+4,
646.00,1.35800498E+4,
648.00,1.25008857E+4,
650.00,1.25607148E+4,
652.00,1.26958037E+4,
654.00,1.21583965E+4,
656.00,1.24270146E+4,
658.00,1.19976807E+4,
660.00,1.21648818E+4,
662.00,1.17876143E+4,
664.00,1.19873115E+4,
666.00,1.19167803E+4,
668.00,1.09462822E+4,
670.00,1.12000840E+4,
672.00,1.14044199E+4,
674.00,1.14211377E+4,
676.00,1.09391719E+4,
678.00,1.06568066E+4,
680.00,1.03669053E+4,
682.00,1.02102715E+4,
684.00,9.74463965E+3,
686.00,1.00524004E+4,
688.00,1.00429443E+4,
690.00,9.52194629E+3,
692.00,9.89536621E+3,
694.00,9.45802539E+3,
696.00,9.34788281E+3,
698.00,9.40171875E+3,
700.00,8.88132813E+3,
702.00,8.48805273E+3,
704.00,8.87967969E+3,
706.00,8.51831055E+3,
708.00,8.27138574E+3,
710.00,8.52052930E+3,
712.00,8.17623535E+3,
714.00,8.92590527E+3,
716.00,7.58055225E+3,
718.00,7.83516357E+3,
720.00,7.68159912E+3,
722.00,8.16967578E+3,
724.00,7.86888623E+3,
726.00,7.30776123E+3,
728.00,6.84538574E+3,
730.00,7.15218213E+3,
732.00,6.80256836E+3,
734.00,6.24235791E+3,
736.00,6.91581152E+3,
738.00,7.14377197E+3,
740.00,6.14568896E+3,
742.00,6.09360107E+3,
744.00,6.48842139E+3,
746.00,6.30914648E+3,
748.00,5.71412842E+3,
750.00,6.07704785E+3,
752.00,5.77358984E+3,
754.00,5.16425830E+3,
756.00,5.81882520E+3,
758.00,5.80424707E+3,
760.00,5.46862891E+3,
762.00,4.48396973E+3,
764.00,5.29588965E+3,
766.00,5.03959229E+3,
768.00,4.92668652E+3,
770.00,5.31178223E+3,
772.00,4.05817456E+3,
774.00,4.76955078E+3,
776.00,4.49453955E+3,
778.00,4.07227075E+3,
780.00,3.77960034E+3,
782.00,3.98540186E+3,
784.00,3.65046411E+3,
786.00,4.29898926E+3,
788.00,3.12911426E+3,
790.00,3.55213013E+3,
792.00,3.93097266E+3,
794.00,4.34506104E+3,
796.00,3.65783130E+3,
798.00,3.27772705E+3,
800.00,2.82067163E+3,
802.00,2.85167017E+3,
804.00,3.60474121E+3,
806.00,3.39108887E+3,
808.00,2.74181372E+3,
810.00,2.41966260E+3,
812.00,3.02683423E+3,
814.00,2.28356177E+3,
816.00,2.62322046E+3,
818.00,2.19429248E+3,
820.00,2.78702368E+3,
822.00,3.31549146E+3,
824.00,2.17712842E+3,
826.00,1.88934509E+3,
828.00,2.23096606E+3,
830.00,1.77708069E+3,
832.00,1.72607410E+3,
834.00,2.13330737E+3,
836.00,1.53619824E+3,
838.00,2.05604663E+3,
840.00,2.52039111E+3,
842.00,1.45921130E+3,
844.00,2.88579150E+3,
846.00,1.42816431E+3,
848.00,1.53911292E+3,
850.00,1.45310840E+3,
