Labels,2609_ZFFL55_AAN155_1E-5_ACN_exc375_5minAr+5,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,7.46946167E+2,
402.00,8.20082458E+2,
404.00,1.06557019E+3,
406.00,1.29809595E+3,
408.00,2.47615259E+3,
410.00,3.84208691E+3,
412.00,2.82008789E+3,
414.00,3.05811792E+3,
416.00,3.64573169E+3,
418.00,4.99245361E+3,
420.00,8.07430078E+3,
422.00,1.13997334E+4,
424.00,1.06979473E+4,
426.00,1.10167598E+4,
428.00,1.26483408E+4,
430.00,1.52669922E+4,
432.00,1.85057969E+4,
434.00,2.16838906E+4,
436.00,2.55219473E+4,
438.00,2.96022734E+4,
440.00,3.49621836E+4,
442.00,4.06269609E+4,
444.00,4.61972422E+4,
446.00,5.32278984E+4,
448.00,5.98974102E+4,
450.00,6.77990156E+4,
452.00,7.58837031E+4,
454.00,8.33097031E+4,
456.00,9.19878203E+4,
458.00,1.00558945E+5,
460.00,1.10757141E+5,
462.00,1.19076938E+5,
464.00,1.29311172E+5,
466.00,1.40324688E+5,
468.00,1.51193938E+5,
470.00,1.61069234E+5,
472.00,1.70380000E+5,
474.00,1.81075969E+5,
476.00,1.90956453E+5,
478.00,2.00114156E+5,
480.00,2.08288734E+5,
482.00,2.17481891E+5,
484.00,2.24499563E+5,
486.00,2.31041750E+5,
488.00,2.37698281E+5,
490.00,2.43806266E+5,
492.00,2.49246344E+5,
494.00,2.53611063E+5,
496.00,2.55936828E+5,
498.00,2.59328594E+5,
500.00,2.61366359E+5,
502.00,2.62322250E+5,
504.00,2.62411094E+5,
506.00,2.62582000E+5,
508.00,2.60394094E+5,
510.00,2.61226672E+5,
512.00,2.59005172E+5,
514.00,2.58266203E+5,
516.00,2.54692547E+5,
518.00,2.52511688E+5,
520.00,2.48902938E+5,
522.00,2.44827250E+5,
524.00,2.41877125E+5,
526.00,2.38098641E+5,
528.00,2.35202781E+5,
530.00,2.32008703E+5,
532.00,2.27798641E+5,
534.00,2.23869625E+5,
536.00,2.18309672E+5,
538.00,2.15111609E+5,
540.00,2.11258359E+5,
542.00,2.08155844E+5,
544.00,2.05205094E+5,
546.00,1.98512266E+5,
548.00,1.96594422E+5,
550.00,1.92456031E+5,
552.00,1.90962859E+5,
554.00,1.86068766E+5,
556.00,1.83528641E+5,
558.00,1.80704250E+5,
560.00,1.79439953E+5,
562.00,1.75963547E+5,
564.00,1.70956656E+5,
566.00,1.71167813E+5,
568.00,1.68053594E+5,
570.00,1.67180688E+5,
572.00,1.64389344E+5,
574.00,1.64703750E+5,
576.00,1.59667188E+5,
578.00,1.58337000E+5,
580.00,1.58524469E+5,
582.00,1.55366203E+5,
584.00,1.55793563E+5,
586.00,1.52775875E+5,
588.00,1.53523891E+5,
590.00,1.50100703E+5,
592.00,1.49701109E+5,
594.00,1.47756609E+5,
596.00,1.49257297E+5,
598.00,1.44136406E+5,
600.00,1.45210781E+5,
602.00,1.44199000E+5,
604.00,1.42709313E+5,
606.00,1.40190516E+5,
608.00,1.40298547E+5,
610.00,1.39258766E+5,
612.00,1.38043547E+5,
614.00,1.36430922E+5,
616.00,1.35425516E+5,
618.00,1.33506328E+5,
620.00,1.31474484E+5,
622.00,1.31845406E+5,
624.00,1.28282000E+5,
626.00,1.30084539E+5,
628.00,1.28155219E+5,
630.00,1.25078742E+5,
632.00,1.23472336E+5,
634.00,1.24133242E+5,
636.00,1.23180656E+5,
638.00,1.20412773E+5,
640.00,1.18402711E+5,
642.00,1.16628156E+5,
644.00,1.16834367E+5,
646.00,1.14784609E+5,
648.00,1.13985414E+5,
650.00,1.12393977E+5,
652.00,1.10455633E+5,
654.00,1.08608398E+5,
656.00,1.07405789E+5,
658.00,1.05078414E+5,
660.00,1.05416695E+5,
662.00,1.02886703E+5,
664.00,9.97567422E+4,
666.00,9.99249609E+4,
668.00,9.86789219E+4,
670.00,9.60559688E+4,
672.00,9.33519609E+4,
674.00,9.37197188E+4,
676.00,9.17383438E+4,
678.00,8.98851328E+4,
680.00,8.71465859E+4,
682.00,8.51207656E+4,
684.00,8.49882422E+4,
686.00,8.19536016E+4,
688.00,8.03599219E+4,
690.00,7.91175703E+4,
692.00,7.80156094E+4,
694.00,7.61687578E+4,
696.00,7.50628438E+4,
698.00,7.47433672E+4,
700.00,7.17288828E+4,
702.00,7.09605078E+4,
704.00,7.02584141E+4,
706.00,6.84976016E+4,
708.00,6.79407266E+4,
710.00,6.56405313E+4,
712.00,6.44004336E+4,
714.00,6.34974297E+4,
716.00,6.16062813E+4,
718.00,6.06182656E+4,
720.00,5.94319844E+4,
722.00,5.91354453E+4,
724.00,5.82215156E+4,
726.00,5.66323750E+4,
728.00,5.43222148E+4,
730.00,5.30780703E+4,
732.00,5.01862227E+4,
734.00,5.10359961E+4,
736.00,5.04759219E+4,
738.00,4.88464102E+4,
740.00,5.09897422E+4,
742.00,4.71000820E+4,
744.00,4.60457656E+4,
746.00,4.49423867E+4,
748.00,4.45216211E+4,
750.00,4.32719961E+4,
752.00,4.26937070E+4,
754.00,3.97250195E+4,
756.00,4.03755469E+4,
758.00,3.85854648E+4,
760.00,3.96537578E+4,
762.00,3.61317109E+4,
764.00,3.59885078E+4,
766.00,3.50575273E+4,
768.00,3.33983711E+4,
770.00,3.49943008E+4,
772.00,3.23438965E+4,
774.00,3.43473086E+4,
776.00,2.89235195E+4,
778.00,3.09080293E+4,
780.00,2.83319688E+4,
782.00,2.73279707E+4,
784.00,2.85326035E+4,
786.00,2.59548848E+4,
788.00,2.65996953E+4,
790.00,2.66670918E+4,
792.00,2.41852637E+4,
794.00,2.30789785E+4,
796.00,2.52677207E+4,
798.00,2.44001738E+4,
800.00,2.14137676E+4,
802.00,1.99721094E+4,
804.00,2.09895234E+4,
806.00,1.98915313E+4,
808.00,1.93099648E+4,
810.00,2.14197852E+4,
812.00,1.86469980E+4,
814.00,1.81770469E+4,
816.00,1.59571465E+4,
818.00,1.87350625E+4,
820.00,1.63994316E+4,
822.00,1.56510674E+4,
824.00,1.63246904E+4,
826.00,1.50015234E+4,
828.00,1.63287480E+4,
830.00,1.66234785E+4,
832.00,1.50187148E+4,
834.00,1.51435811E+4,
836.00,1.31716963E+4,
838.00,1.35915928E+4,
840.00,1.35233818E+4,
842.00,1.25840527E+4,
844.00,1.31098320E+4,
846.00,1.22363379E+4,
848.00,1.28897197E+4,
850.00,1.08969893E+4,
