Labels,2609_ZFFL55_AAN155_1E-5_ACN_exc375_5minAr+5_1h later,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,8.63494568E+2,
402.00,8.47868530E+2,
404.00,9.91947388E+2,
406.00,1.31824866E+3,
408.00,2.59417212E+3,
410.00,3.96573730E+3,
412.00,3.07742310E+3,
414.00,3.14064331E+3,
416.00,3.77948315E+3,
418.00,5.06761182E+3,
420.00,8.32832422E+3,
422.00,1.18925508E+4,
424.00,1.11035518E+4,
426.00,1.13000059E+4,
428.00,1.33510986E+4,
430.00,1.56282900E+4,
432.00,1.85803652E+4,
434.00,2.19721699E+4,
436.00,2.58360156E+4,
438.00,3.06122227E+4,
440.00,3.49930117E+4,
442.00,4.07313203E+4,
444.00,4.72094336E+4,
446.00,5.35198008E+4,
448.00,5.99797773E+4,
450.00,6.73530781E+4,
452.00,7.57375859E+4,
454.00,8.34990156E+4,
456.00,9.17380234E+4,
458.00,1.00552859E+5,
460.00,1.09199633E+5,
462.00,1.18917344E+5,
464.00,1.29257195E+5,
466.00,1.38777297E+5,
468.00,1.48738297E+5,
470.00,1.58957844E+5,
472.00,1.69479672E+5,
474.00,1.78902156E+5,
476.00,1.89693297E+5,
478.00,1.96570109E+5,
480.00,2.06078203E+5,
482.00,2.13033328E+5,
484.00,2.21303844E+5,
486.00,2.25559031E+5,
488.00,2.34927281E+5,
490.00,2.40078344E+5,
492.00,2.43896766E+5,
494.00,2.47868313E+5,
496.00,2.51466953E+5,
498.00,2.54166844E+5,
500.00,2.57525453E+5,
502.00,2.55976500E+5,
504.00,2.56064156E+5,
506.00,2.58063484E+5,
508.00,2.56320984E+5,
510.00,2.54988672E+5,
512.00,2.53626031E+5,
514.00,2.50825078E+5,
516.00,2.48063938E+5,
518.00,2.46840703E+5,
520.00,2.41739016E+5,
522.00,2.38031984E+5,
524.00,2.34310344E+5,
526.00,2.31923922E+5,
528.00,2.26074578E+5,
530.00,2.21850078E+5,
532.00,2.17342359E+5,
534.00,2.14782297E+5,
536.00,2.08224109E+5,
538.00,2.01431922E+5,
540.00,2.00291000E+5,
542.00,1.95894328E+5,
544.00,1.90104016E+5,
546.00,1.86241000E+5,
548.00,1.81419250E+5,
550.00,1.79461594E+5,
552.00,1.73943047E+5,
554.00,1.68058469E+5,
556.00,1.64713563E+5,
558.00,1.61805484E+5,
560.00,1.57611625E+5,
562.00,1.55844016E+5,
564.00,1.50720750E+5,
566.00,1.48559344E+5,
568.00,1.44553344E+5,
570.00,1.42743781E+5,
572.00,1.39172203E+5,
574.00,1.36257703E+5,
576.00,1.32918094E+5,
578.00,1.31076344E+5,
580.00,1.28359781E+5,
582.00,1.26986266E+5,
584.00,1.24131289E+5,
586.00,1.22121727E+5,
588.00,1.19986664E+5,
590.00,1.17944391E+5,
592.00,1.15950461E+5,
594.00,1.14496633E+5,
596.00,1.11431422E+5,
598.00,1.09552281E+5,
600.00,1.09260742E+5,
602.00,1.07143094E+5,
604.00,1.05377727E+5,
606.00,1.03672188E+5,
608.00,1.01095352E+5,
610.00,1.00265117E+5,
612.00,9.78867969E+4,
614.00,9.64119531E+4,
616.00,9.37983672E+4,
618.00,9.28707031E+4,
620.00,9.15219531E+4,
622.00,9.00574609E+4,
624.00,8.91300781E+4,
626.00,8.66300391E+4,
628.00,8.60688125E+4,
630.00,8.32661016E+4,
632.00,8.26472891E+4,
634.00,8.15555469E+4,
636.00,7.91456016E+4,
638.00,7.84897422E+4,
640.00,7.78686719E+4,
642.00,7.51026953E+4,
644.00,7.54144766E+4,
646.00,7.40698984E+4,
648.00,7.22905156E+4,
650.00,6.97797891E+4,
652.00,6.83203047E+4,
654.00,6.67618906E+4,
656.00,6.65327813E+4,
658.00,6.63007734E+4,
660.00,6.58644453E+4,
662.00,6.25816641E+4,
664.00,5.99057578E+4,
666.00,5.95197500E+4,
668.00,5.91585273E+4,
670.00,5.58161875E+4,
672.00,5.55419258E+4,
674.00,5.40258047E+4,
676.00,5.32550117E+4,
678.00,5.26177695E+4,
680.00,5.12039648E+4,
682.00,4.96608555E+4,
684.00,4.80523906E+4,
686.00,4.73022227E+4,
688.00,4.56662227E+4,
690.00,4.44409414E+4,
692.00,4.41416523E+4,
694.00,4.25012070E+4,
696.00,4.33539805E+4,
698.00,4.08633281E+4,
700.00,4.06625664E+4,
702.00,3.89130820E+4,
704.00,3.77586211E+4,
706.00,3.75259180E+4,
708.00,3.62308086E+4,
710.00,3.60581992E+4,
712.00,3.44468047E+4,
714.00,3.43498945E+4,
716.00,3.42758125E+4,
718.00,3.19065645E+4,
720.00,3.09183320E+4,
722.00,3.11394395E+4,
724.00,3.02213555E+4,
726.00,2.98801602E+4,
728.00,2.79610840E+4,
730.00,2.80517051E+4,
732.00,2.66821230E+4,
734.00,2.64049121E+4,
736.00,2.59328945E+4,
738.00,2.46985469E+4,
740.00,2.45113359E+4,
742.00,2.34789766E+4,
744.00,2.33737988E+4,
746.00,2.35829434E+4,
748.00,2.27463750E+4,
750.00,2.15185039E+4,
752.00,2.08421074E+4,
754.00,2.11413359E+4,
756.00,2.01724512E+4,
758.00,2.07485820E+4,
760.00,1.94674063E+4,
762.00,1.77942578E+4,
764.00,1.82083262E+4,
766.00,1.75301484E+4,
768.00,1.70106563E+4,
770.00,1.66153789E+4,
772.00,1.55633428E+4,
774.00,1.55972334E+4,
776.00,1.56121035E+4,
778.00,1.52770508E+4,
780.00,1.45756895E+4,
782.00,1.39322832E+4,
784.00,1.36677520E+4,
786.00,1.30298018E+4,
788.00,1.27313564E+4,
790.00,1.18458320E+4,
792.00,1.10831025E+4,
794.00,1.13182715E+4,
796.00,1.26772451E+4,
798.00,1.23145674E+4,
800.00,1.11349600E+4,
802.00,1.09308779E+4,
804.00,1.07019990E+4,
806.00,1.01996357E+4,
808.00,1.00819209E+4,
810.00,1.01690518E+4,
812.00,9.01506152E+3,
814.00,8.14657910E+3,
816.00,9.10998535E+3,
818.00,8.02473926E+3,
820.00,9.08278711E+3,
822.00,8.64065527E+3,
824.00,7.99559180E+3,
826.00,7.86076709E+3,
828.00,8.56707324E+3,
830.00,7.40714746E+3,
832.00,6.49271729E+3,
834.00,7.35893066E+3,
836.00,6.48537891E+3,
838.00,5.59029980E+3,
840.00,6.06988330E+3,
842.00,5.08573438E+3,
844.00,6.16403125E+3,
846.00,7.00222021E+3,
848.00,5.78120313E+3,
850.00,6.01703955E+3,
