Labels,2609_ZFFL55_AAN155_1E-5_ACN_exc375_5minAr,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,7.66283813E+2,
402.00,8.24256104E+2,
404.00,1.00306525E+3,
406.00,1.27355066E+3,
408.00,2.53654150E+3,
410.00,4.01663745E+3,
412.00,3.03252271E+3,
414.00,3.11046313E+3,
416.00,3.94972021E+3,
418.00,5.06808447E+3,
420.00,8.20858398E+3,
422.00,1.20113271E+4,
424.00,1.10953652E+4,
426.00,1.14585449E+4,
428.00,1.31911572E+4,
430.00,1.57291758E+4,
432.00,1.84269707E+4,
434.00,2.18940352E+4,
436.00,2.60719688E+4,
438.00,3.03240762E+4,
440.00,3.53659219E+4,
442.00,4.12771016E+4,
444.00,4.70194063E+4,
446.00,5.33679141E+4,
448.00,6.01756328E+4,
450.00,6.74809375E+4,
452.00,7.49600156E+4,
454.00,8.33527969E+4,
456.00,9.13538516E+4,
458.00,1.00669313E+5,
460.00,1.09631281E+5,
462.00,1.19506844E+5,
464.00,1.29570031E+5,
466.00,1.37079953E+5,
468.00,1.48972844E+5,
470.00,1.57978594E+5,
472.00,1.68058969E+5,
474.00,1.77860563E+5,
476.00,1.88628188E+5,
478.00,1.95246172E+5,
480.00,2.04274891E+5,
482.00,2.12124094E+5,
484.00,2.19816859E+5,
486.00,2.24622047E+5,
488.00,2.30681938E+5,
490.00,2.37486875E+5,
492.00,2.41091953E+5,
494.00,2.47567766E+5,
496.00,2.47315813E+5,
498.00,2.50365969E+5,
500.00,2.51615313E+5,
502.00,2.51994469E+5,
504.00,2.53431453E+5,
506.00,2.52780984E+5,
508.00,2.50502703E+5,
510.00,2.51154016E+5,
512.00,2.47734094E+5,
514.00,2.46446797E+5,
516.00,2.42948750E+5,
518.00,2.40493234E+5,
520.00,2.36506125E+5,
522.00,2.33845094E+5,
524.00,2.28239891E+5,
526.00,2.25773313E+5,
528.00,2.22723516E+5,
530.00,2.16376172E+5,
532.00,2.12199844E+5,
534.00,2.08041063E+5,
536.00,2.04089734E+5,
538.00,1.99780672E+5,
540.00,1.95875141E+5,
542.00,1.92676813E+5,
544.00,1.86887203E+5,
546.00,1.83131281E+5,
548.00,1.78437031E+5,
550.00,1.75813172E+5,
552.00,1.71652281E+5,
554.00,1.67724422E+5,
556.00,1.64566359E+5,
558.00,1.59845563E+5,
560.00,1.57025063E+5,
562.00,1.54628625E+5,
564.00,1.51278234E+5,
566.00,1.47972578E+5,
568.00,1.45697703E+5,
570.00,1.42778625E+5,
572.00,1.40007234E+5,
574.00,1.39014031E+5,
576.00,1.35903859E+5,
578.00,1.33566641E+5,
580.00,1.32636594E+5,
582.00,1.29145898E+5,
584.00,1.27159578E+5,
586.00,1.26769398E+5,
588.00,1.25096672E+5,
590.00,1.23707875E+5,
592.00,1.21747078E+5,
594.00,1.19417008E+5,
596.00,1.16592711E+5,
598.00,1.15304234E+5,
600.00,1.13916422E+5,
602.00,1.13592086E+5,
604.00,1.10900313E+5,
606.00,1.09353641E+5,
608.00,1.07725984E+5,
610.00,1.06988938E+5,
612.00,1.05197867E+5,
614.00,1.04177219E+5,
616.00,1.00386961E+5,
618.00,9.99595703E+4,
620.00,9.75978359E+4,
622.00,9.72075625E+4,
624.00,9.75086172E+4,
626.00,9.45854844E+4,
628.00,9.42638125E+4,
630.00,9.27600078E+4,
632.00,9.03345078E+4,
634.00,8.77961641E+4,
636.00,8.68882656E+4,
638.00,8.67129922E+4,
640.00,8.48093125E+4,
642.00,8.34762266E+4,
644.00,8.26611563E+4,
646.00,8.12111016E+4,
648.00,7.98190156E+4,
650.00,7.71615547E+4,
652.00,7.73409219E+4,
654.00,7.57726953E+4,
656.00,7.37321094E+4,
658.00,7.18424766E+4,
660.00,7.17092109E+4,
662.00,6.87696250E+4,
664.00,6.80737734E+4,
666.00,6.70066250E+4,
668.00,6.48262578E+4,
670.00,6.38925195E+4,
672.00,6.28263672E+4,
674.00,6.15383477E+4,
676.00,5.89495820E+4,
678.00,5.78677539E+4,
680.00,5.69795039E+4,
682.00,5.68947539E+4,
684.00,5.58299531E+4,
686.00,5.24693359E+4,
688.00,5.29301836E+4,
690.00,5.16624922E+4,
692.00,4.95226719E+4,
694.00,4.75904102E+4,
696.00,4.89046094E+4,
698.00,4.68734297E+4,
700.00,4.45225234E+4,
702.00,4.31145703E+4,
704.00,4.45329414E+4,
706.00,4.35201016E+4,
708.00,4.14460547E+4,
710.00,4.05097695E+4,
712.00,3.97220156E+4,
714.00,3.79462422E+4,
716.00,3.84925313E+4,
718.00,3.80603164E+4,
720.00,3.66879727E+4,
722.00,3.67326641E+4,
724.00,3.46658125E+4,
726.00,3.42801953E+4,
728.00,3.31501016E+4,
730.00,3.21108711E+4,
732.00,3.01708145E+4,
734.00,2.98667695E+4,
736.00,3.15394395E+4,
738.00,2.92461348E+4,
740.00,2.88558027E+4,
742.00,2.76671328E+4,
744.00,2.84918730E+4,
746.00,2.56551855E+4,
748.00,2.65916797E+4,
750.00,2.55569023E+4,
752.00,2.47185410E+4,
754.00,2.36884727E+4,
756.00,2.22386289E+4,
758.00,2.20775156E+4,
760.00,2.20797246E+4,
762.00,2.03623926E+4,
764.00,2.06851836E+4,
766.00,2.11110918E+4,
768.00,1.89681680E+4,
770.00,1.91510508E+4,
772.00,1.86260723E+4,
774.00,1.90919629E+4,
776.00,1.74981094E+4,
778.00,1.64184629E+4,
780.00,1.68393047E+4,
782.00,1.52717305E+4,
784.00,1.57479678E+4,
786.00,1.58296582E+4,
788.00,1.45454443E+4,
790.00,1.35228535E+4,
792.00,1.47914238E+4,
794.00,1.41287383E+4,
796.00,1.27369268E+4,
798.00,1.22497646E+4,
800.00,1.23973340E+4,
802.00,1.24417334E+4,
804.00,1.20780020E+4,
806.00,1.10852363E+4,
808.00,1.19931611E+4,
810.00,1.08256865E+4,
812.00,1.02632744E+4,
814.00,9.91370508E+3,
816.00,9.42907422E+3,
818.00,9.43083887E+3,
820.00,9.23791406E+3,
822.00,8.44177148E+3,
824.00,8.50011719E+3,
826.00,8.70955566E+3,
828.00,8.24054688E+3,
830.00,7.26145508E+3,
832.00,7.86632178E+3,
834.00,8.42366016E+3,
836.00,7.53595703E+3,
838.00,6.22084375E+3,
840.00,6.70118213E+3,
842.00,5.85687207E+3,
844.00,5.22636621E+3,
846.00,6.25705225E+3,
848.00,4.83629199E+3,
850.00,5.81868457E+3,
