Labels,0310_ZFFL55_AAN155_Ba_1E-7_ACN_exc375_O2,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,2.96013611E+2,
402.00,2.57511841E+2,
404.00,1.98724686E+2,
406.00,2.99697266E+2,
408.00,1.66458850E+3,
410.00,3.11163989E+3,
412.00,1.13075916E+3,
414.00,2.76742889E+2,
416.00,3.01066711E+2,
418.00,9.09814453E+2,
420.00,4.10020459E+3,
422.00,7.36036084E+3,
424.00,3.77989795E+3,
426.00,1.05738257E+3,
428.00,4.65297119E+2,
430.00,3.23552704E+2,
432.00,3.24874817E+2,
434.00,3.13154968E+2,
436.00,3.23705048E+2,
438.00,2.82216370E+2,
440.00,3.14156891E+2,
442.00,3.31997192E+2,
444.00,3.10875214E+2,
446.00,2.77307220E+2,
448.00,3.13922516E+2,
450.00,2.84555939E+2,
452.00,3.03013000E+2,
454.00,2.57506409E+2,
456.00,3.00608246E+2,
458.00,2.65925781E+2,
460.00,2.75161682E+2,
462.00,2.72189270E+2,
464.00,2.26946426E+2,
466.00,3.02824280E+2,
468.00,2.40120850E+2,
470.00,2.74091461E+2,
472.00,2.30845505E+2,
474.00,2.22861588E+2,
476.00,2.39238098E+2,
478.00,2.09980637E+2,
480.00,1.89838654E+2,
482.00,2.26172424E+2,
484.00,2.19797318E+2,
486.00,2.15759033E+2,
488.00,2.17344391E+2,
490.00,1.94981262E+2,
492.00,1.81173553E+2,
494.00,2.29066025E+2,
496.00,1.60676956E+2,
498.00,1.89764130E+2,
500.00,2.06110016E+2,
502.00,1.63292084E+2,
504.00,1.79095840E+2,
506.00,1.87028534E+2,
508.00,1.88727081E+2,
510.00,2.24241348E+2,
512.00,1.65595062E+2,
514.00,1.71083847E+2,
516.00,2.17604736E+2,
518.00,1.57303711E+2,
520.00,1.66361008E+2,
522.00,1.82516678E+2,
524.00,1.87154694E+2,
526.00,1.99418991E+2,
528.00,2.38198059E+2,
530.00,2.21859329E+2,
532.00,2.16475586E+2,
534.00,2.10632141E+2,
536.00,2.45498108E+2,
538.00,1.92562485E+2,
540.00,2.36425613E+2,
542.00,2.67269897E+2,
544.00,3.47755310E+2,
546.00,3.10586243E+2,
548.00,3.01103577E+2,
550.00,2.78594116E+2,
552.00,3.10114166E+2,
554.00,3.12901550E+2,
556.00,3.29499725E+2,
558.00,2.97835815E+2,
560.00,3.59784729E+2,
562.00,4.03083313E+2,
564.00,3.74043732E+2,
566.00,3.19160828E+2,
568.00,4.16316925E+2,
570.00,4.45737610E+2,
572.00,4.45372925E+2,
574.00,4.69227692E+2,
576.00,4.23075684E+2,
578.00,5.61925903E+2,
580.00,5.29069702E+2,
582.00,5.07943634E+2,
584.00,6.06204407E+2,
586.00,4.97397369E+2,
588.00,6.47739990E+2,
590.00,6.27559082E+2,
592.00,5.35406128E+2,
594.00,6.18092102E+2,
596.00,6.24964600E+2,
598.00,6.03037109E+2,
600.00,6.13402710E+2,
602.00,5.69059814E+2,
604.00,5.89268921E+2,
606.00,6.15346619E+2,
608.00,6.53425415E+2,
610.00,6.84351685E+2,
612.00,6.92766602E+2,
614.00,5.62096191E+2,
616.00,5.77549072E+2,
618.00,6.59403076E+2,
620.00,6.07514832E+2,
622.00,6.12247253E+2,
624.00,6.05856018E+2,
626.00,6.88251282E+2,
628.00,6.46046021E+2,
630.00,5.92026794E+2,
632.00,7.82654541E+2,
634.00,5.93124878E+2,
636.00,4.95936096E+2,
638.00,6.36303589E+2,
640.00,6.11376465E+2,
642.00,7.18125061E+2,
644.00,6.24613098E+2,
646.00,5.12210083E+2,
648.00,5.56505737E+2,
650.00,5.46434326E+2,
652.00,5.35327881E+2,
654.00,6.05305908E+2,
656.00,5.54253967E+2,
658.00,4.28222137E+2,
660.00,6.02135681E+2,
662.00,5.49040466E+2,
664.00,5.39823608E+2,
666.00,4.89071167E+2,
668.00,5.24656006E+2,
670.00,3.14823883E+2,
672.00,5.83518860E+2,
674.00,4.29504211E+2,
676.00,3.78050751E+2,
678.00,5.35613342E+2,
680.00,2.70714264E+2,
682.00,4.84822266E+2,
684.00,4.16985565E+2,
686.00,3.46561523E+2,
688.00,3.13501892E+2,
690.00,4.55894531E+2,
692.00,2.60198517E+2,
694.00,3.88749573E+2,
696.00,3.53478821E+2,
698.00,3.10099335E+2,
700.00,3.92443176E+2,
702.00,4.18257141E+2,
704.00,2.12418930E+2,
706.00,3.23873444E+2,
708.00,2.60018799E+2,
710.00,4.52668365E+2,
712.00,3.19955902E+2,
714.00,3.47009430E+2,
716.00,3.03914581E+2,
718.00,3.52007477E+2,
720.00,1.98256973E+2,
722.00,2.94632507E+2,
724.00,2.53809753E+2,
726.00,2.25595901E+2,
728.00,3.40264252E+2,
730.00,2.71388214E+2,
732.00,1.51865997E+2,
734.00,1.82524673E+2,
736.00,2.82293427E+2,
738.00,2.91143280E+2,
740.00,2.85769806E+2,
742.00,3.07209534E+2,
744.00,1.65495132E+2,
746.00,2.46132568E+2,
748.00,2.20516953E+2,
750.00,1.14099937E+2,
752.00,2.33648819E+2,
754.00,1.37384888E+2,
756.00,4.09573914E+2,
758.00,3.67064331E+2,
760.00,2.44887451E+2,
762.00,1.56197571E+2,
764.00,3.39595093E+2,
766.00,1.43093597E+2,
768.00,2.33738312E+2,
770.00,2.62577820E+2,
772.00,1.57761536E+2,
774.00,2.54397919E+2,
776.00,0.00000000E+0,
778.00,1.73149750E+2,
780.00,1.01090492E+2,
782.00,1.55926575E+2,
784.00,5.43444328E+1,
786.00,-5.51641884E+1,
788.00,4.00009064E+2,
790.00,2.34406860E+2,
792.00,1.51044632E+2,
794.00,0.00000000E+0,
796.00,3.19488354E+1,
798.00,1.64027451E+2,
800.00,1.01313492E+2,
802.00,2.77152466E+2,
804.00,1.07519539E+2,
806.00,1.82528656E+2,
808.00,3.74938774E+1,
810.00,3.83953827E+2,
812.00,2.74738434E+2,
814.00,-8.03471603E+1,
816.00,0.00000000E+0,
818.00,1.24644188E+2,
820.00,2.12627853E+2,
822.00,1.73203568E+2,
824.00,4.42595291E+1,
826.00,8.95105743E+1,
828.00,4.11535797E+2,
830.00,1.84536758E+2,
832.00,2.37379684E+2,
834.00,-9.53885651E+1,
836.00,1.97529663E+2,
838.00,3.46580536E+2,
840.00,1.00931702E+2,
842.00,0.00000000E+0,
844.00,-5.18275909E+1,
846.00,2.13770844E+2,
848.00,0.00000000E+0,
850.00,3.42669464E+2,
