Labels,ZFFL55_AAN155_1E-5_ACN_exc375_O2,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.9999765,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.9999765,
Detector,PMT-980,

400.00,6.31602783E+2,
402.00,6.31111572E+2,
404.00,8.12742126E+2,
406.00,1.04392590E+3,
408.00,2.23895410E+3,
410.00,3.36388892E+3,
412.00,2.36661987E+3,
414.00,2.42012646E+3,
416.00,2.93585522E+3,
418.00,4.03255884E+3,
420.00,6.99221191E+3,
422.00,9.96972949E+3,
424.00,8.53121875E+3,
426.00,7.95046045E+3,
428.00,9.43169727E+3,
430.00,1.08270869E+4,
432.00,1.31160088E+4,
434.00,1.53861670E+4,
436.00,1.79474434E+4,
438.00,2.13909219E+4,
440.00,2.44567480E+4,
442.00,2.81458691E+4,
444.00,3.23146289E+4,
446.00,3.65170117E+4,
448.00,4.11527813E+4,
450.00,4.51009063E+4,
452.00,5.08053750E+4,
454.00,5.65255078E+4,
456.00,6.15550898E+4,
458.00,6.63496328E+4,
460.00,7.29225156E+4,
462.00,7.99215078E+4,
464.00,8.56827422E+4,
466.00,9.21018203E+4,
468.00,9.83763906E+4,
470.00,1.05443102E+5,
472.00,1.12538633E+5,
474.00,1.17708898E+5,
476.00,1.24670328E+5,
478.00,1.30650594E+5,
480.00,1.35621516E+5,
482.00,1.41052781E+5,
484.00,1.45917172E+5,
486.00,1.51565125E+5,
488.00,1.54565313E+5,
490.00,1.58669047E+5,
492.00,1.61795828E+5,
494.00,1.65380000E+5,
496.00,1.67158547E+5,
498.00,1.69288063E+5,
500.00,1.71102469E+5,
502.00,1.71352031E+5,
504.00,1.72801891E+5,
506.00,1.72279047E+5,
508.00,1.73035969E+5,
510.00,1.71161422E+5,
512.00,1.70258391E+5,
514.00,1.68190266E+5,
516.00,1.67619969E+5,
518.00,1.65639469E+5,
520.00,1.62454516E+5,
522.00,1.60437547E+5,
524.00,1.58749953E+5,
526.00,1.55466828E+5,
528.00,1.52231547E+5,
530.00,1.49778609E+5,
532.00,1.46478594E+5,
534.00,1.43449813E+5,
536.00,1.39580156E+5,
538.00,1.37032938E+5,
540.00,1.32312516E+5,
542.00,1.28714930E+5,
544.00,1.26937891E+5,
546.00,1.23091406E+5,
548.00,1.19147789E+5,
550.00,1.14766195E+5,
552.00,1.12370313E+5,
554.00,1.09545422E+5,
556.00,1.05490930E+5,
558.00,1.02265273E+5,
560.00,9.94455781E+4,
562.00,9.72665391E+4,
564.00,9.35732656E+4,
566.00,9.16042734E+4,
568.00,8.78121563E+4,
570.00,8.45246016E+4,
572.00,8.21623750E+4,
574.00,7.98812891E+4,
576.00,7.76160391E+4,
578.00,7.43938594E+4,
580.00,7.33251875E+4,
582.00,7.07158359E+4,
584.00,6.97534297E+4,
586.00,6.64946563E+4,
588.00,6.41486758E+4,
590.00,6.27245352E+4,
592.00,6.07254727E+4,
594.00,5.99199727E+4,
596.00,5.67496289E+4,
598.00,5.54663750E+4,
600.00,5.50028477E+4,
602.00,5.27782500E+4,
604.00,5.15033711E+4,
606.00,4.97033086E+4,
608.00,4.85973203E+4,
610.00,4.78931797E+4,
612.00,4.63730117E+4,
614.00,4.53853281E+4,
616.00,4.41563867E+4,
618.00,4.25172773E+4,
620.00,4.11262383E+4,
622.00,4.09503359E+4,
624.00,3.89164844E+4,
626.00,3.78238906E+4,
628.00,3.79522617E+4,
630.00,3.67905859E+4,
632.00,3.57724414E+4,
634.00,3.39227070E+4,
636.00,3.39441680E+4,
638.00,3.28820508E+4,
640.00,3.23789688E+4,
642.00,3.14515059E+4,
644.00,3.05580195E+4,
646.00,2.98175996E+4,
648.00,2.85623711E+4,
650.00,2.77628457E+4,
652.00,2.74302539E+4,
654.00,2.69977578E+4,
656.00,2.59868398E+4,
658.00,2.55840508E+4,
660.00,2.50937559E+4,
662.00,2.47617520E+4,
664.00,2.37163105E+4,
666.00,2.29641816E+4,
668.00,2.31749102E+4,
670.00,2.18697207E+4,
672.00,2.07091895E+4,
674.00,2.13155313E+4,
676.00,2.00017988E+4,
678.00,2.04595684E+4,
680.00,1.91925723E+4,
682.00,1.90473613E+4,
684.00,1.79519141E+4,
686.00,1.76134668E+4,
688.00,1.74034453E+4,
690.00,1.62074619E+4,
692.00,1.69453496E+4,
694.00,1.57032861E+4,
696.00,1.59536855E+4,
698.00,1.54051865E+4,
700.00,1.48311084E+4,
702.00,1.46712246E+4,
704.00,1.38138506E+4,
706.00,1.39593154E+4,
708.00,1.34395947E+4,
710.00,1.26447168E+4,
712.00,1.30076826E+4,
714.00,1.22979707E+4,
716.00,1.15424561E+4,
718.00,1.14151523E+4,
720.00,1.10893135E+4,
722.00,1.04338633E+4,
724.00,1.12287432E+4,
726.00,1.08467510E+4,
728.00,9.56765625E+3,
730.00,9.44380176E+3,
732.00,9.37391699E+3,
734.00,8.86322168E+3,
736.00,9.23565527E+3,
738.00,8.68478613E+3,
740.00,8.16176270E+3,
742.00,8.29433887E+3,
744.00,8.47766211E+3,
746.00,8.15841846E+3,
748.00,7.52401709E+3,
750.00,7.74273975E+3,
752.00,7.01975439E+3,
754.00,6.46325586E+3,
756.00,6.48635742E+3,
758.00,7.01183057E+3,
760.00,6.82242725E+3,
762.00,6.31661963E+3,
764.00,5.92094629E+3,
766.00,6.31450977E+3,
768.00,6.08493945E+3,
770.00,6.11725488E+3,
772.00,5.25782568E+3,
774.00,5.67674268E+3,
776.00,5.47253613E+3,
778.00,4.68990576E+3,
780.00,4.74031055E+3,
782.00,5.19206592E+3,
784.00,4.44805176E+3,
786.00,4.48362549E+3,
788.00,3.73715063E+3,
790.00,4.39122607E+3,
792.00,3.93718384E+3,
794.00,3.82302686E+3,
796.00,3.67012329E+3,
798.00,3.02413110E+3,
800.00,2.72568579E+3,
802.00,3.22649658E+3,
804.00,3.60478467E+3,
806.00,3.57602271E+3,
808.00,3.09577515E+3,
810.00,2.41334082E+3,
812.00,3.18383398E+3,
814.00,2.90322192E+3,
816.00,2.43286914E+3,
818.00,2.70444971E+3,
820.00,2.82893970E+3,
822.00,2.16500000E+3,
824.00,1.78393274E+3,
826.00,2.26222925E+3,
828.00,1.66438159E+3,
830.00,1.54861914E+3,
832.00,1.86764099E+3,
834.00,2.12908496E+3,
836.00,1.96127905E+3,
838.00,1.66062048E+3,
840.00,2.19921094E+3,
842.00,1.08568201E+3,
844.00,1.11769482E+3,
846.00,2.12261816E+3,
848.00,8.84258301E+2,
850.00,6.36664917E+2,
