Labels,ZFFL55_AAN155_Ba_1E-5_ACN_exc375_O2,
Type,Emission Scan,
Comment,,
Start,400.00,
Stop,850.00,
Step,2.00,
Fixed/Offset,375.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.00,
Detector,PMT-980,

400.00,6.77749390E+2,
402.00,5.93752869E+2,
404.00,6.17773254E+2,
406.00,7.60728699E+2,
408.00,2.16921045E+3,
410.00,3.28302197E+3,
412.00,1.67516296E+3,
414.00,1.07018640E+3,
416.00,1.25236389E+3,
418.00,1.80024487E+3,
420.00,4.86731299E+3,
422.00,7.82339941E+3,
424.00,4.44040479E+3,
426.00,2.45674390E+3,
428.00,2.15380347E+3,
430.00,2.09119824E+3,
432.00,2.26751074E+3,
434.00,2.42690283E+3,
436.00,2.58030762E+3,
438.00,2.68778394E+3,
440.00,2.99560083E+3,
442.00,3.14437671E+3,
444.00,3.30339917E+3,
446.00,3.51781812E+3,
448.00,3.62713354E+3,
450.00,3.74744824E+3,
452.00,3.96919922E+3,
454.00,4.15258984E+3,
456.00,4.29523047E+3,
458.00,4.49625488E+3,
460.00,4.52755225E+3,
462.00,4.61305127E+3,
464.00,4.77713770E+3,
466.00,4.99681592E+3,
468.00,5.03009766E+3,
470.00,5.22885059E+3,
472.00,5.22949707E+3,
474.00,5.29610205E+3,
476.00,5.55910010E+3,
478.00,5.60905811E+3,
480.00,5.42666113E+3,
482.00,5.64276709E+3,
484.00,5.77269629E+3,
486.00,5.80653174E+3,
488.00,5.75530859E+3,
490.00,5.84783252E+3,
492.00,5.84725879E+3,
494.00,5.89406299E+3,
496.00,5.89256396E+3,
498.00,5.83188232E+3,
500.00,5.84688086E+3,
502.00,6.07413867E+3,
504.00,5.82063916E+3,
506.00,6.00952295E+3,
508.00,6.09204590E+3,
510.00,6.08237744E+3,
512.00,6.36810596E+3,
514.00,6.47662842E+3,
516.00,6.53862793E+3,
518.00,6.95746143E+3,
520.00,7.07948730E+3,
522.00,7.38119727E+3,
524.00,7.97862451E+3,
526.00,8.42962402E+3,
528.00,8.77526367E+3,
530.00,9.54294043E+3,
532.00,9.82885449E+3,
534.00,1.06622881E+4,
536.00,1.13321699E+4,
538.00,1.20114189E+4,
540.00,1.31291787E+4,
542.00,1.42706934E+4,
544.00,1.51866162E+4,
546.00,1.65683066E+4,
548.00,1.73708633E+4,
550.00,1.88568906E+4,
552.00,1.99215566E+4,
554.00,2.09036191E+4,
556.00,2.23244902E+4,
558.00,2.39210586E+4,
560.00,2.54942949E+4,
562.00,2.74185664E+4,
564.00,2.84852891E+4,
566.00,2.97324629E+4,
568.00,3.14329629E+4,
570.00,3.29513281E+4,
572.00,3.43084531E+4,
574.00,3.53893125E+4,
576.00,3.79344375E+4,
578.00,3.83856211E+4,
580.00,4.02887695E+4,
582.00,4.14784063E+4,
584.00,4.26820742E+4,
586.00,4.46187031E+4,
588.00,4.58383516E+4,
590.00,4.58022344E+4,
592.00,4.70852305E+4,
594.00,4.86928438E+4,
596.00,4.97519883E+4,
598.00,4.94722188E+4,
600.00,5.11883750E+4,
602.00,5.10351055E+4,
604.00,5.19329570E+4,
606.00,5.24932227E+4,
608.00,5.27073867E+4,
610.00,5.30610000E+4,
612.00,5.33002969E+4,
614.00,5.41252227E+4,
616.00,5.37084102E+4,
618.00,5.40458438E+4,
620.00,5.43786328E+4,
622.00,5.33272109E+4,
624.00,5.40581484E+4,
626.00,5.41864570E+4,
628.00,5.40639609E+4,
630.00,5.44315508E+4,
632.00,5.30905820E+4,
634.00,5.29648008E+4,
636.00,5.22302734E+4,
638.00,5.21810352E+4,
640.00,5.18343125E+4,
642.00,5.22910156E+4,
644.00,5.10410938E+4,
646.00,4.86895039E+4,
648.00,4.89623320E+4,
650.00,4.91053789E+4,
652.00,4.86512656E+4,
654.00,4.71818555E+4,
656.00,4.66294219E+4,
658.00,4.56081875E+4,
660.00,4.61252852E+4,
662.00,4.47465703E+4,
664.00,4.38390664E+4,
666.00,4.32992383E+4,
668.00,4.23352266E+4,
670.00,4.14892188E+4,
672.00,4.10409063E+4,
674.00,3.98827578E+4,
676.00,3.91499609E+4,
678.00,3.82689766E+4,
680.00,3.73645547E+4,
682.00,3.60385391E+4,
684.00,3.70790391E+4,
686.00,3.57395820E+4,
688.00,3.35753672E+4,
690.00,3.34567617E+4,
692.00,3.32589180E+4,
694.00,3.21089727E+4,
696.00,3.19827500E+4,
698.00,3.14322207E+4,
700.00,2.98740137E+4,
702.00,2.92837500E+4,
704.00,2.92482109E+4,
706.00,2.82211250E+4,
708.00,2.83973418E+4,
710.00,2.74529082E+4,
712.00,2.62318184E+4,
714.00,2.57086406E+4,
716.00,2.56976738E+4,
718.00,2.47180684E+4,
720.00,2.46058457E+4,
722.00,2.38123457E+4,
724.00,2.29915273E+4,
726.00,2.33174805E+4,
728.00,2.07706445E+4,
730.00,2.13088066E+4,
732.00,2.02811582E+4,
734.00,1.94859375E+4,
736.00,1.94644805E+4,
738.00,1.84820527E+4,
740.00,1.87440195E+4,
742.00,1.75163262E+4,
744.00,1.87976816E+4,
746.00,1.67221875E+4,
748.00,1.64325879E+4,
750.00,1.54904580E+4,
752.00,1.56019941E+4,
754.00,1.48273691E+4,
756.00,1.60310830E+4,
758.00,1.50560664E+4,
760.00,1.43811045E+4,
762.00,1.37980889E+4,
764.00,1.31513291E+4,
766.00,1.25649063E+4,
768.00,1.21056104E+4,
770.00,1.18646514E+4,
772.00,1.18302393E+4,
774.00,1.12308330E+4,
776.00,1.08483096E+4,
778.00,1.08095059E+4,
780.00,1.09624189E+4,
782.00,1.01813506E+4,
784.00,1.07691582E+4,
786.00,9.46795410E+3,
788.00,9.01293457E+3,
790.00,9.55940039E+3,
792.00,8.57710352E+3,
794.00,9.32688965E+3,
796.00,7.68683398E+3,
798.00,7.50320361E+3,
800.00,7.83440674E+3,
802.00,7.42030469E+3,
804.00,8.37871582E+3,
806.00,7.52340674E+3,
808.00,5.24257617E+3,
810.00,7.42964111E+3,
812.00,6.22807373E+3,
814.00,7.14559375E+3,
816.00,6.23541650E+3,
818.00,7.20332666E+3,
820.00,6.29490527E+3,
822.00,5.38976416E+3,
824.00,5.43122021E+3,
826.00,5.98358057E+3,
828.00,3.97987451E+3,
830.00,5.07964502E+3,
832.00,4.46203613E+3,
834.00,3.80325293E+3,
836.00,4.00576514E+3,
838.00,3.66302979E+3,
840.00,4.59379785E+3,
842.00,4.62598877E+3,
844.00,4.58878516E+3,
846.00,3.46013086E+3,
848.00,2.84029639E+3,
850.00,3.86665137E+3,
